,gold,prediction,rouge_score,bertscore_precision,bertscore_recall,bertscore_f1,factCC_label,factCC_score
0,"This paper proposes a class of neural processes that lifts the limitations of conditional neural processes (CNPs) and produces dependent/correlated outputs but that, as CNPs, is inherently scalable and it is easy to train via maximum likelihood. The proposed model is extended to multi-output regression and to capture non-Gaussian output distributions. Results are presented on synthetic data, an electroencephalogram dataset and on a climate modeling problem. The paper parameterizes the prediction map as a Gaussian, where the mean and covariance are determined using neural networks. Non-Gaussian prediction maps are obtained using copulas. 

Technically speaking, the reviewers found the approach to be incremental and only marginally significant and I agree with them. Issues such as estimates of computational cost, using fixed lengthscales for the covariances and relationships/using normalizing flows have been addressed by the authors satisfactorily. Empirically, the contribution of the paper is somewhat significant, as it provides similar flexibility to other more computationally expensive processes and more general assumptions than conditional neural processes.

","A paper addresses a core issue of the popular conditional neural process: the predictions at each test point are conditionally independent . The authors present a class of neural process models that are able to produce correlated predictions while amenable to maximum likelihood optimization supporting multiple outputs . By using invertible transformations (gaussian copula), the model is able to capture non-Gaussian output distributions . The manuscript proposes variants of Neural process (NP) which can model correlation in the input (and in the output for multiouput regression)",0.19841269841269843,0.8473929762840271,0.7937626242637634,0.8197015523910522,CORRECT,0.9859594702720642
1,"Exploration can happen at various levels of granularity and at different times during an episode,  and this work performs a study of the problem of exploration (when to explore/when to switch between exploring and exploitation, at what time-scale to do so, and what signals would be good triggers to switch). The study is performed on atari games.

Strenghts:
------------
The study is well motivated and the manuscript is overall well written
Studies a new problem area, and proposes an initial novel method for this problem
extensive study on atari problems

Weaknesses
--------------
some clarity issues as pointed out by the reviewers
no illustrative task is given to give a more intuitive exposition of the ""when to explore"" problem
comparison to some extra baselines like GoExplore would have been insightful

Rebuttal:
----------
Most clarity issues have been addressed satisfactorily. It has been explained why some requests for extra baselines would be challenging/or not relevant enough. While the authors agree that GoExplore would be an interesting baseline, they seem to have not added it. An illustrative task was not provided.

Summary:
------------
All reviewers agree that this manuscript opens up and tackles a novel direction in exploration, and provides an extensive empirical study on atari games (a standard benchmark for such problem settings). While I agree with the reviewers that point out that this paper could have been made stronger by adding an illustrative task and additional baselines like GoExplore, there is a general consensus that the provided empirical study on this novel problem setting is a good contribution in itself. Because of this I recommend accept.

","This paper studies switching between exploit and explore modes in reinforcement learning . It proposes new ways to explore the subject, especially with intra-episodic exploration variants . The focus for exploration is not on how, but when . This paper proposes a mode-switching strategy for the exploration/exploitation dilemma instead of monolithic behaviour policies . Overall, the paper is very strong, well-motivated, and empirically sound . It concludes with very thought-provoking suggestions and discussions .",0.08902077151335312,0.8092565536499023,0.703505277633667,0.7526845932006836,CORRECT,0.9965079426765442
2,"This paper proposes an unsupervised graph learning method [Iterative Graph Self-Distillation (IGSD)] by iteratively performing self-distillation to contrast graph pairs under different augmented views. This idea is then extended to semi-supervised setting where via a supervised contrastive loss and self-training. The method is empirically evaluated on some semi-supervised graph classification and molecular property prediction tasks, and has achieved promising results.

Reviewers agree that the method is interesting and the paper is well-written. The biggest concern from reviewers related to experimental evaluations of the method. The authors responded to this and included additional experiments. Although the reviewers appreciate the provided results and explanations, at the end they were not convinced about the empirical assessments. In particular, R1's post rebuttal comment indicates concerns about the reported performance of GCKN, which is different from the published one in Table 1 of GCKN paper. I encourage authors to improve on these experimental discrepancies and resubmit. 

","The improvement of the proposed approach over baselines seem not significant . The novelty of this work is incremental, but it's still an interesting work for improving graph-level representations . The major concern is that the proposed method encourages the closeness of augmented views from the same graph instances but provide no guarantee that the transformation used (graph diffusion and sparsification with PPR + random remove edges) would be label-preserving . The authors need to compare with more to substantiate this work .",0.13389121338912136,0.7982256412506104,0.763276219367981,0.7803598046302795,CORRECT,0.9862723350524902
3,"This paper suggests that adversarial vulnerability scales with the dimension of the input of neural networks, and support this hypothesis theoretically and experimentally. 

The work is well-written, and all of the reviewers appreciated the easy-to-read and clear nature of the theoretical results, including the assumptions and limitations. (The AC did not consider the criticisms raised by Reviewer 3 justified. The norm-bound perturbations considered here are a sufficiently interesting unsolved problem in the community and a clear prerequisite to solving the broader network robustness problem.) 

However, many of the reviewers also agreed that the theoretical assumptions - and, in particular, the random initialization of the weights - greatly oversimplify the problem. Reviewers point out that the lack of data dependence and only considering the norm of the gradient considerably limit the significance of the corresponding theoretical results, and also does not properly address the issue of gradient masking. 

","The paper studies how the vulnerability of a neural network model depends on its input dimension . Authors prove that for an *untrained* model, randomly . The authors provide a compelling theoretical explanation for a large class of . adversarial examples . They unify several old perspectives, and convincingly argue for genuinely new scaling relationships . They prove a number of . theorems relating these scaling relationships to a broad swathe of relevant model . model architectures .",0.1095890410958904,0.7965943217277527,0.7660266757011414,0.7810115218162537,CORRECT,0.9922692775726318
4,"The paper shows that a form of Fictitious Self-Play converges to the Nash equilibria in Markov games. Understanding the theoretical properties of Fictitious Self-Play is important, however the paper in its current form is not ready for publication. The paper needs a more thorough discussion on related works, the assumptions made, and as pointed out by Reviewer3, the convergence argument needs to be expanded and explained in more detail. Further, I encourage authors to add experiments and compare their algorithm with other methods. 

","The main algorithm is a version of the classic fictitious play algorithm . It operates on the Q-values, but a key novelty is the use of a particular form of regularization in the best response process . The authors consider self-play in zero-sum discounted two-player Markov games with compact state space and finite actions . They proved the sequence of joint policies converges to a neighborhood of a Nash equilibrium at a sublinear rate .",0.17500000000000002,0.8075476288795471,0.7828535437583923,0.7950088977813721,INCORRECT,0.9478411078453064
5,"This paper proposes a relatively complicated method for source-free unsupervised domain adaptation, which integrates several techniques into a divide and contrast framework. The idea of dividing the target data into source-like subset and target-specific subset and employing global alignment and feature consistency for each subset is novel when the source data is inaccessible. The contrastive learning and memory-based MMD are novel in the context of source-free domain adaptation and introduce theoretical benefits in terms of the expansion theory and domain alignment theory, respectively. Reviewers were on the positive side while holding some concerns on the marginal improvement over the SoTA methods, which were addressed in the author rebuttal. AC generally agreed that the paper has introduced a novel and solid contribution to the field, with a nice connection between algorithmic methods and theoretical insights, and  recommended the paper for acceptance. Authors are suggested to incorporate all rebuttal material in the revision and if possible, to work out a recipe for easing the adoption of their relatively complicated framework that comes with many modules and loss terms.

","The authors proposed a method for source-free unsupervised domain adaptation (SFUDA) task . The key idea is to combine the advantages of global alignment and feature consistency . The authors divided the target data into source-like and target-specific samples . The two are further aligned using maximum mean discrepancy loss . The proposed method achieves the best performance on widely used benchmarks, authors say . The proposal is based on a new SFUDA approach called Divide and Contrast .",0.2256809338521401,0.8454996943473816,0.7879059314727783,0.8156874179840088,INCORRECT,0.9963687658309937
6,"This paper explores the use of partial rejection control (PRC) for improved SMC-based variational bounds. While an unbiased SMC variant with PRC has been previously introduced by Kudlicka et al. (2020), this work introduces innovations that can help apply such ideas to variational inference. These bounds result in improvements in empirical performance. 

This paper was heavily discussed, with significant engagement by both the authors and the reviewers. Most reviewers recommended acceptance of this paper, with one reviewer (R4) recommending against acceptance. R4's central concerns regard the novelty of the proposed approach and its positioning relative to the existing SMC literature. The authors argued vigorously in the comments that this paper should be judged as a contribution to the VI literature and not the SMC literature.  Unfortunately, I will recommend that this paper is rejected. It is my opinion that R4's concerns were not fully addressed.

On the one hand, I agree with the authors that there is significant value to be had in exploring variants of SMC for VI. Indeed, some prior art, like FIVO and IWAE, contributed little to the Monte Carlo literature. I believe that these were good contributions.

On the other hand, I am concerned that the current draft does not clearly circumscribe its contributions. I read the sections that disuss the works of Schmon et al. (2019) and Kudlicka et al. (2020), and the writing did not leave me with a clear enough sense of the differences. I also read the abstract and introduction of the paper. The introduction of the paper positions this work clearly within the VI literature, but does not clearly discuss prior SMC art, e.g., it does not cite Kudlicka et al. (2020). Despite citing rejection control for SMC, the writing of the abstract and introduction left me with the impression that this work was the first to introduce *unbiased, partial* rejection control for SMC. I believe that impressions matter and that the machine learning community should be generous to adjacent communities when assigning credit.

I realize that my decision is a matter of taste. I also want to say that I am confident that the authors have a clear sense of where their contribution sits, and I suspect that it is a valuable contribution. However, I cannot recommend the draft in its current form. If this is a contribution to the VI literature, as the authors argue, then the authors should not hesitate to give full credit to prior SMC art. My reading of the current draft still leaves me confused about which aspects of the SMC estimator are actual contributions.

","This paper describes an SMC algorithm to sample the posterior distribution of latent states $p_\theta(z_{1:T)$ in a latent variable models . It is difficult for an expert in SMC algorithms to understand the algorithm as it is described . Empirical experiments suggest the method outperforms previous work . The significance of the paper in terms of novelty of the ideas, both conceptual and technical, is overstated .",0.09980039920159682,0.7653026580810547,0.6937848925590515,0.7277910113334656,CORRECT,0.9977117776870728
7,"This paper addresses a meta-learning method which involves bilevel optimization. It is claimed that two limitations (myopia of MG and restricted consideration of geometry of search space) that most of existing methods have can be resolved by the MBG with a properly chosen pseudo-metric. The algorithm first bootstraps a target from the meta- learner, then optimizes the meta-learner by minimizing the distance to that target under a chosen pseudo-metric. The authors also establish conditions that guarantee performance improvements and show that metric can be sued to control meta-optimization. All the reviewers agree that the idea is interesting and experiments well support it. Authors did a good job in the rebuttal phase, resolving most of concerns raised by reviewers, leading that two of reviewers raised their score. While the current theoretical results are limited to a simple case where L=1$, the method is attractive for meta-learning community. All reviewers agree to champion this paper. Congratulations on a nice work.

","The paper proposes Bootstrapped Meta-Learning,* a new meta-learning algorithm for hyperparameter optimization . Empirically, the new algorithm achieved a new state-of-the art for model-free agents on the Atari ALE benchmark . Theoretically, some guarantees on performance improvements are provided . The paper is generally clear and well written, but certain areas would benefit from more detailed discussions . The authors aim to resolve two issues with the standard outer-loop gradient-based optimization of the meta-parameters (assuming a differentiable inner-loop)",0.1774193548387097,0.8055479526519775,0.7781476974487305,0.7916107773780823,INCORRECT,0.999502420425415
8,"Dear Authors,
thank you very much for your submission. We are happy to inform you that
we have decided to accept it and we look forward to your talk in the workshop.
Please, go over the feedback in the reviews and correct or update your papers
in time for the camera ready date (May 24). In particular, please address the
comments raised by both reviewers regarding clarity, discussion of related work,
and additional experimental results, by making use of the additional space (9 pages) 
allowed by HSDIP.
Best regards
HSDIP organizers

","The presented paper introduces an extension to existing pattern generation algorithms for PDB heuristics . The work is fairly incremental, mostly turning screws in a large space of existing methods and combining them in new ways . The write-up is not very good and could be improved . The paper addresses an interesting research question and I think trying to understand what made Complementary planners work well in IPC 2018 is a worthwhile endeavor . Unfortunately, I don't think the paper in its current form takes us closer to this goal .",0.09999999999999998,0.7471261024475098,0.7307253479957581,0.7388347387313843,INCORRECT,0.9892705678939819
9,"This work presents a novel environment-free invariant learning method that uses an auxiliary network to learn environment-specific features, from which environment inferences can be derived. The method is composed of two jointly learned models, that take care of the environment identification, the learning of the invariant representations, and the label predictions, produced by a multi-headed neural network. The proposed model is compared to different alternative models from the literature of the field, in different challenging benchmarks, and the results show that it closely achieves the best possible invariant learning performance.

After some initial discussions, all reviewers agreed that this work is ready for publication, as the work addresses an important problem, presents good empirical results, and will be of significant interest to the community. 


","The paper discusses the problem of shift between train and test data distributions . The authors assume that training data originate from multiple 'environments', each with particular distribution . They propose a novel environment-free invariant learning method that uses an auxiliary network to learn environment-specific features . These inferred environments labels are then used to train and model model model . The experimental results are sufficient but the presentation should be improved . The proposed model is compared to different alternative models from the literature of the field .",0.32075471698113206,0.8533600568771362,0.8286346197128296,0.8408156037330627,CORRECT,0.990888237953186
