,gold,prediction,rouge_score,bertscore_precision,bertscore_recall,bertscore_f1,factCC_label,factCC_score
0,"This paper proposes a class of neural processes that lifts the limitations of conditional neural processes (CNPs) and produces dependent/correlated outputs but that, as CNPs, is inherently scalable and it is easy to train via maximum likelihood. The proposed model is extended to multi-output regression and to capture non-Gaussian output distributions. Results are presented on synthetic data, an electroencephalogram dataset and on a climate modeling problem. The paper parameterizes the prediction map as a Gaussian, where the mean and covariance are determined using neural networks. Non-Gaussian prediction maps are obtained using copulas. 

Technically speaking, the reviewers found the approach to be incremental and only marginally significant and I agree with them. Issues such as estimates of computational cost, using fixed lengthscales for the covariances and relationships/using normalizing flows have been addressed by the authors satisfactorily. Empirically, the contribution of the paper is somewhat significant, as it provides similar flexibility to other more computationally expensive processes and more general assumptions than conditional neural processes.

","Summary: I think the novelty of the proposed methods is not striking. The proposed method looks like a direct implementation of a Gaussian process with deep kernel learning in the meta learning setting (through the form of NP): just including the global representation vector mathbbr into the mean and the covariance functions for a GP. 2. The descriptions (in Introduction) related the reference [Bruinsma et al., 2021] looks a little bit confusing. First, the name “Gaussian Neural Process” (and the concept of modeling a Gaassian predictive using neural networks) is already introduced in the reference paper.",0.15151515151515152,0.7906440496444702,0.7679625749588013,0.7791383266448975,INCORRECT,0.9995219707489014
1,"Exploration can happen at various levels of granularity and at different times during an episode,  and this work performs a study of the problem of exploration (when to explore/when to switch between exploring and exploitation, at what time-scale to do so, and what signals would be good triggers to switch). The study is performed on atari games.

Strenghts:
------------
The study is well motivated and the manuscript is overall well written
Studies a new problem area, and proposes an initial novel method for this problem
extensive study on atari problems

Weaknesses
--------------
some clarity issues as pointed out by the reviewers
no illustrative task is given to give a more intuitive exposition of the ""when to explore"" problem
comparison to some extra baselines like GoExplore would have been insightful

Rebuttal:
----------
Most clarity issues have been addressed satisfactorily. It has been explained why some requests for extra baselines would be challenging/or not relevant enough. While the authors agree that GoExplore would be an interesting baseline, they seem to have not added it. An illustrative task was not provided.

Summary:
------------
All reviewers agree that this manuscript opens up and tackles a novel direction in exploration, and provides an extensive empirical study on atari games (a standard benchmark for such problem settings). While I agree with the reviewers that point out that this paper could have been made stronger by adding an illustrative task and additional baselines like GoExplore, there is a general consensus that the provided empirical study on this novel problem setting is a good contribution in itself. Because of this I recommend accept.

","Summary: Confidence: 3: You are fairly confident in your assessment of this paper. It is possible that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked. This paper conducts a series of experiments aimed at answering the question of when we should switch between exploitation and exploration and how long to stay in each exploration mode during RL learning. It proposes new ways to explore the subject, especially with intra-episodic exploration variants. It presents a large body of study results (10 pages of appendices!!), and concludes with very thought-provoking suggestions and discussions. As positive points we can cite the wide related bibliography, from analogies with the animal system (human included) of exploring to other techniques such as the use of options.",0.11851851851851852,0.7839032411575317,0.7238777279853821,0.752695620059967,INCORRECT,0.9716073274612427
2,"This paper proposes an unsupervised graph learning method [Iterative Graph Self-Distillation (IGSD)] by iteratively performing self-distillation to contrast graph pairs under different augmented views. This idea is then extended to semi-supervised setting where via a supervised contrastive loss and self-training. The method is empirically evaluated on some semi-supervised graph classification and molecular property prediction tasks, and has achieved promising results.

Reviewers agree that the method is interesting and the paper is well-written. The biggest concern from reviewers related to experimental evaluations of the method. The authors responded to this and included additional experiments. Although the reviewers appreciate the provided results and explanations, at the end they were not convinced about the empirical assessments. In particular, R1's post rebuttal comment indicates concerns about the reported performance of GCKN, which is different from the published one in Table 1 of GCKN paper. I encourage authors to improve on these experimental discrepancies and resubmit. 

","IGSD is a self-distillation based graph augmentation mechanism to alleviate the drawbacks of existing unsupervised MI based models w.r.t. their high dependency towards negative sampling. However it would have been better if the system designs and significant difference of the proposed model from existing work are discussed. Graph-level representations with only labels have been explored by many works. However, it's not easy to annotate every graph. This paper applies the ideas from semi-supervised classification task to improve the representation quality learned by graph neural network.",0.12851405622489961,0.8018190860748291,0.7783194184303284,0.7898945212364197,INCORRECT,0.9912123084068298
3,"This paper suggests that adversarial vulnerability scales with the dimension of the input of neural networks, and support this hypothesis theoretically and experimentally. 

The work is well-written, and all of the reviewers appreciated the easy-to-read and clear nature of the theoretical results, including the assumptions and limitations. (The AC did not consider the criticisms raised by Reviewer 3 justified. The norm-bound perturbations considered here are a sufficiently interesting unsolved problem in the community and a clear prerequisite to solving the broader network robustness problem.) 

However, many of the reviewers also agreed that the theoretical assumptions - and, in particular, the random initialization of the weights - greatly oversimplify the problem. Reviewers point out that the lack of data dependence and only considering the norm of the gradient considerably limit the significance of the corresponding theoretical results, and also does not properly address the issue of gradient masking. 

","This paper provides a compelling theoretical explanation for a large class of adversarial examples. However, it is unlikely such analysis is significant. This analysis only seems to work for ""well-behaved"" models. For models with gradient masking, obfuscated gradients or even non-differentiable models. It is unclear how this specific gradient based analysis can help the understanding of the adversity phenomena.",0.09523809523809525,0.8020370006561279,0.7578607797622681,0.7793233394622803,CORRECT,0.9251999855041504
4,"The paper shows that a form of Fictitious Self-Play converges to the Nash equilibria in Markov games. Understanding the theoretical properties of Fictitious Self-Play is important, however the paper in its current form is not ready for publication. The paper needs a more thorough discussion on related works, the assumptions made, and as pointed out by Reviewer3, the convergence argument needs to be expanded and explained in more detail. Further, I encourage authors to add experiments and compare their algorithm with other methods. 

","I think this paper is a solid contribution to the problem of learning to play a Nash equilibrium in two-player, zero-sum Markov games. It tackles a hard problem and makes solid progress. Overall, the presentation, while dense, is clear. However, there are a few issues that could need additional discussion: 1) Why does the uniqueness of the Nash equilibria not matter to the results? Quite a bit of prior work has had caveats when they are not unique. The results seem to hold if the assumptions are true for at least one equilibrium, presumably because of the minimax properties in a zero -sum setting, but I’m not quite clear how this interacts with the assumptions. For example, if one The authors present a smooth fictitious self-play algorithm where each player adopts an entropy-regularized policy optimization method",0.1946902654867257,0.7782998085021973,0.822541356086731,0.7998092770576477,CORRECT,0.6350052952766418
5,"This paper proposes a relatively complicated method for source-free unsupervised domain adaptation, which integrates several techniques into a divide and contrast framework. The idea of dividing the target data into source-like subset and target-specific subset and employing global alignment and feature consistency for each subset is novel when the source data is inaccessible. The contrastive learning and memory-based MMD are novel in the context of source-free domain adaptation and introduce theoretical benefits in terms of the expansion theory and domain alignment theory, respectively. Reviewers were on the positive side while holding some concerns on the marginal improvement over the SoTA methods, which were addressed in the author rebuttal. AC generally agreed that the paper has introduced a novel and solid contribution to the field, with a nice connection between algorithmic methods and theoretical insights, and  recommended the paper for acceptance. Authors are suggested to incorporate all rebuttal material in the revision and if possible, to work out a recipe for easing the adoption of their relatively complicated framework that comes with many modules and loss terms.

","Rating: 5: Borderline accept: Technically solid paper where reasons to accept outweigh reasons to reject, e.g., limited evaluation. Confidence: 4: You are confident in your assessment, but not absolutely certain, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work. This paper presents a method for source-free unsupervised domain adaptation (SFUDA) task. The key idea is to combine the advantages of global alignment [1] and feature consistency [2]. The authors divided the target data into source-like and target-specific samples and treat them by different learning methods. The authors demonstrate extensive experiments on three datasets and verify the performance of the proposed method.",0.2013422818791946,0.787105917930603,0.792052149772644,0.7895712852478027,INCORRECT,0.9992859959602356
6,"This paper explores the use of partial rejection control (PRC) for improved SMC-based variational bounds. While an unbiased SMC variant with PRC has been previously introduced by Kudlicka et al. (2020), this work introduces innovations that can help apply such ideas to variational inference. These bounds result in improvements in empirical performance. 

This paper was heavily discussed, with significant engagement by both the authors and the reviewers. Most reviewers recommended acceptance of this paper, with one reviewer (R4) recommending against acceptance. R4's central concerns regard the novelty of the proposed approach and its positioning relative to the existing SMC literature. The authors argued vigorously in the comments that this paper should be judged as a contribution to the VI literature and not the SMC literature.  Unfortunately, I will recommend that this paper is rejected. It is my opinion that R4's concerns were not fully addressed.

On the one hand, I agree with the authors that there is significant value to be had in exploring variants of SMC for VI. Indeed, some prior art, like FIVO and IWAE, contributed little to the Monte Carlo literature. I believe that these were good contributions.

On the other hand, I am concerned that the current draft does not clearly circumscribe its contributions. I read the sections that disuss the works of Schmon et al. (2019) and Kudlicka et al. (2020), and the writing did not leave me with a clear enough sense of the differences. I also read the abstract and introduction of the paper. The introduction of the paper positions this work clearly within the VI literature, but does not clearly discuss prior SMC art, e.g., it does not cite Kudlicka et al. (2020). Despite citing rejection control for SMC, the writing of the abstract and introduction left me with the impression that this work was the first to introduce *unbiased, partial* rejection control for SMC. I believe that impressions matter and that the machine learning community should be generous to adjacent communities when assigning credit.

I realize that my decision is a matter of taste. I also want to say that I am confident that the authors have a clear sense of where their contribution sits, and I suspect that it is a valuable contribution. However, I cannot recommend the draft in its current form. If this is a contribution to the VI literature, as the authors argue, then the authors should not hesitate to give full credit to prior SMC art. My reading of the current draft still leaves me confused about which aspects of the SMC estimator are actual contributions.

","Positives: --- The problem is interesting. The notation is a bit cumbersome at times, but it is the case for most papers on SMC. The writing is mostly clear. The experiments include a linear Gaussian state-space model and recurrent neural networks on polyphonic music datasets. The fact that SMC with partial rejection control can still produce unbiased estimators of the marginal likelihood was described by Kudlicka, Murray, Schoen, Lindsten,",0.0874751491053678,0.7583112716674805,0.6978291869163513,0.7268141508102417,INCORRECT,0.9998007416725159
7,"This paper addresses a meta-learning method which involves bilevel optimization. It is claimed that two limitations (myopia of MG and restricted consideration of geometry of search space) that most of existing methods have can be resolved by the MBG with a properly chosen pseudo-metric. The algorithm first bootstraps a target from the meta- learner, then optimizes the meta-learner by minimizing the distance to that target under a chosen pseudo-metric. The authors also establish conditions that guarantee performance improvements and show that metric can be sued to control meta-optimization. All the reviewers agree that the idea is interesting and experiments well support it. Authors did a good job in the rebuttal phase, resolving most of concerns raised by reviewers, leading that two of reviewers raised their score. While the current theoretical results are limited to a simple case where L=1$, the method is attractive for meta-learning community. All reviewers agree to champion this paper. Congratulations on a nice work.

","A meta-learning algorithm with bootstrapped meta-gradients that can be used to extend the meta learning horizon without increasing the number of updates steps through which we must backpropagate, and that behavioural parameters outside of the update rule (e.g., epsilon-gree) can also be used. This paper broadly considers meta- learning, a.k.a. bilevel optimization. The authors aim to resolve two issues with the standard outer-loop gradient-based optimization of the meta-parameters (assuming a differentiable inner loop).",0.17813765182186236,0.7976174354553223,0.7738526463508606,0.785555362701416,INCORRECT,0.9761379957199097
8,"Dear Authors,
thank you very much for your submission. We are happy to inform you that
we have decided to accept it and we look forward to your talk in the workshop.
Please, go over the feedback in the reviews and correct or update your papers
in time for the camera ready date (May 24). In particular, please address the
comments raised by both reviewers regarding clarity, discussion of related work,
and additional experimental results, by making use of the additional space (9 pages) 
allowed by HSDIP.
Best regards
HSDIP organizers

","I think the paper in its current form takes us closer to understanding what made the Complementary planners work well in IPC 2018. Furthermore, the experiment section is missing many essential comparisons, making it impossible to judge how the algorithms compare to previous work. - ed. Franco et al. (2017). Automatic pattern generation for PDB heuristics: a review and meta-analysis of a new approach to the problem.",0.12658227848101264,0.7465406656265259,0.7360852956771851,0.7412761449813843,INCORRECT,0.9893787503242493
9,"This work presents a novel environment-free invariant learning method that uses an auxiliary network to learn environment-specific features, from which environment inferences can be derived. The method is composed of two jointly learned models, that take care of the environment identification, the learning of the invariant representations, and the label predictions, produced by a multi-headed neural network. The proposed model is compared to different alternative models from the literature of the field, in different challenging benchmarks, and the results show that it closely achieves the best possible invariant learning performance.

After some initial discussions, all reviewers agreed that this work is ready for publication, as the work addresses an important problem, presents good empirical results, and will be of significant interest to the community. 


","A solid paper that addresses the challenge of learning a supervised ML model capable of identifying and adapting to different environments hidden in the training data. This paper is a solid, moderate-to-high impact paper, with no major concerns with respect to evaluation, resources, reproducibility, ethical considerations. The authors present a very flexible and effective learning framework, incorporating the main strengths of the previously introduced models and surpassing many of the limitations thereof.",0.1691542288557214,0.7928448915481567,0.7792280316352844,0.7859774827957153,CORRECT,0.9972220659255981
