,gold,prediction,rouge_score,bertscore_precision,bertscore_recall,bertscore_f1,factCC_label,factCC_score
0,"This paper proposes a class of neural processes that lifts the limitations of conditional neural processes (CNPs) and produces dependent/correlated outputs but that, as CNPs, is inherently scalable and it is easy to train via maximum likelihood. The proposed model is extended to multi-output regression and to capture non-Gaussian output distributions. Results are presented on synthetic data, an electroencephalogram dataset and on a climate modeling problem. The paper parameterizes the prediction map as a Gaussian, where the mean and covariance are determined using neural networks. Non-Gaussian prediction maps are obtained using copulas. 

Technically speaking, the reviewers found the approach to be incremental and only marginally significant and I agree with them. Issues such as estimates of computational cost, using fixed lengthscales for the covariances and relationships/using normalizing flows have been addressed by the authors satisfactorily. Empirically, the contribution of the paper is somewhat significant, as it provides similar flexibility to other more computationally expensive processes and more general assumptions than conditional neural processes.

",This paper addresses a core issue of the popular conditional neural process: the predictions at each test point are conditionally independent given the conditioning set. This is an inappropriate modeling assumption for many real-world datasets. I was disappointed when I found that these weren't used in the paper I think the novelty of the proposed methods is not striking. The proposed method looks like a direct implementation of a Gaussian process with deep kernel learning in the meta learning setting,0.152,0.802069902420044,0.7609753608703613,0.7809824347496033,INCORRECT,0.7628687024116516
1,"Exploration can happen at various levels of granularity and at different times during an episode,  and this work performs a study of the problem of exploration (when to explore/when to switch between exploring and exploitation, at what time-scale to do so, and what signals would be good triggers to switch). The study is performed on atari games.

Strenghts:
------------
The study is well motivated and the manuscript is overall well written
Studies a new problem area, and proposes an initial novel method for this problem
extensive study on atari problems

Weaknesses
--------------
some clarity issues as pointed out by the reviewers
no illustrative task is given to give a more intuitive exposition of the ""when to explore"" problem
comparison to some extra baselines like GoExplore would have been insightful

Rebuttal:
----------
Most clarity issues have been addressed satisfactorily. It has been explained why some requests for extra baselines would be challenging/or not relevant enough. While the authors agree that GoExplore would be an interesting baseline, they seem to have not added it. An illustrative task was not provided.

Summary:
------------
All reviewers agree that this manuscript opens up and tackles a novel direction in exploration, and provides an extensive empirical study on atari games (a standard benchmark for such problem settings). While I agree with the reviewers that point out that this paper could have been made stronger by adding an illustrative task and additional baselines like GoExplore, there is a general consensus that the provided empirical study on this novel problem setting is a good contribution in itself. Because of this I recommend accept.

","This is a very good paper. It provides a good overview of the RL learning process. It also provides some useful suggestions on how to explore the subject. It does not provide a clear explanation of the different modes of exploration in RL. It is not clear how to choose between exploration and exploitation, and how long to stay in each mode of exploration. This paper is very good at exploring the subject, but it is not strong enough to show improvements in performance.",0.1264367816091954,0.8180505633354187,0.689714252948761,0.7484205961227417,INCORRECT,0.8833053708076477
2,"This paper proposes an unsupervised graph learning method [Iterative Graph Self-Distillation (IGSD)] by iteratively performing self-distillation to contrast graph pairs under different augmented views. This idea is then extended to semi-supervised setting where via a supervised contrastive loss and self-training. The method is empirically evaluated on some semi-supervised graph classification and molecular property prediction tasks, and has achieved promising results.

Reviewers agree that the method is interesting and the paper is well-written. The biggest concern from reviewers related to experimental evaluations of the method. The authors responded to this and included additional experiments. Although the reviewers appreciate the provided results and explanations, at the end they were not convinced about the empirical assessments. In particular, R1's post rebuttal comment indicates concerns about the reported performance of GCKN, which is different from the published one in Table 1 of GCKN paper. I encourage authors to improve on these experimental discrepancies and resubmit. 

","IGSD is a self-distillation based graph augmentation mechanism to alleviate the drawbacks of existing unsupervised MI based models w.r.t. their high dependency towards negative sampling. However it would have been better if the system designs and significant difference of the proposed model from existing work are discussed. Graph-level representations with only labels have been explored by many works. However, it's not easy to annotate every graph. This paper applies the ideas from semi-supervised classification task to improve the representation quality learned by graph neural network.",0.12851405622489961,0.8018190860748291,0.7783194184303284,0.7898945212364197,INCORRECT,0.9912123084068298
3,"This paper suggests that adversarial vulnerability scales with the dimension of the input of neural networks, and support this hypothesis theoretically and experimentally. 

The work is well-written, and all of the reviewers appreciated the easy-to-read and clear nature of the theoretical results, including the assumptions and limitations. (The AC did not consider the criticisms raised by Reviewer 3 justified. The norm-bound perturbations considered here are a sufficiently interesting unsolved problem in the community and a clear prerequisite to solving the broader network robustness problem.) 

However, many of the reviewers also agreed that the theoretical assumptions - and, in particular, the random initialization of the weights - greatly oversimplify the problem. Reviewers point out that the lack of data dependence and only considering the norm of the gradient considerably limit the significance of the corresponding theoretical results, and also does not properly address the issue of gradient masking. 

","This paper provides a compelling theoretical explanation for a large class of adversarial examples. While this is not new, they unify several old perspectives, and convincingly argue for genuinely new scaling relationships. This analysis only seems to work for ""well-behaved"" models. For models with gradient masking, obfuscated gradients or even non-differentiable models, it is unlikely such analysis is significant.",0.09523809523809525,0.8025274276733398,0.7578059434890747,0.7795258164405823,INCORRECT,0.9987603425979614
4,"The paper shows that a form of Fictitious Self-Play converges to the Nash equilibria in Markov games. Understanding the theoretical properties of Fictitious Self-Play is important, however the paper in its current form is not ready for publication. The paper needs a more thorough discussion on related works, the assumptions made, and as pointed out by Reviewer3, the convergence argument needs to be expanded and explained in more detail. Further, I encourage authors to add experiments and compare their algorithm with other methods. 

","I think this paper is a solid contribution to the problem of learning to play a Nash equilibrium in two-player, zero-sum Markov games, which are one of the simplest settings of multi-agent RL. It tackles a hard problem and makes solid progress. I think the algorithm and analysis are both nice contributions and definitely intend to study the latter further as I think aspects of it may be useful in other settings. Overall the presentation, while dense, is clear. However, there are a few issues that could need additional discussion: 1) Why does the uniqueness of the Nash equilibria not matter to the results? Quite a bit of prior work has had caveats when they are not unique. The results seem to hold if the assumptions are true for at least one equilibrium, presumably because of the minimax properties in a zero -sum setting, but I’m not quite clear",0.17647058823529413,0.7738271951675415,0.8112443089485168,0.7920941114425659,CORRECT,0.924258828163147
5,"This paper proposes a relatively complicated method for source-free unsupervised domain adaptation, which integrates several techniques into a divide and contrast framework. The idea of dividing the target data into source-like subset and target-specific subset and employing global alignment and feature consistency for each subset is novel when the source data is inaccessible. The contrastive learning and memory-based MMD are novel in the context of source-free domain adaptation and introduce theoretical benefits in terms of the expansion theory and domain alignment theory, respectively. Reviewers were on the positive side while holding some concerns on the marginal improvement over the SoTA methods, which were addressed in the author rebuttal. AC generally agreed that the paper has introduced a novel and solid contribution to the field, with a nice connection between algorithmic methods and theoretical insights, and  recommended the paper for acceptance. Authors are suggested to incorporate all rebuttal material in the revision and if possible, to work out a recipe for easing the adoption of their relatively complicated framework that comes with many modules and loss terms.

",This paper proposes a method for source-free unsupervised domain adaptation (SFUDA) task. The key idea is to combine the advantages of global alignment and feature consistency. The authors divided the target data into source-like and target-specific samples and treat them by different learning methods. The main weakness is the performance compared to previous work. It shows that the results of the proposed method are just marginally good compared with [2] and [3] in 2 out of 3 datasets (table 1 and table 3). The performance is good in table 2,0.2627737226277372,0.8170415759086609,0.7916233539581299,0.8041316270828247,INCORRECT,0.999942421913147
6,"This paper explores the use of partial rejection control (PRC) for improved SMC-based variational bounds. While an unbiased SMC variant with PRC has been previously introduced by Kudlicka et al. (2020), this work introduces innovations that can help apply such ideas to variational inference. These bounds result in improvements in empirical performance. 

This paper was heavily discussed, with significant engagement by both the authors and the reviewers. Most reviewers recommended acceptance of this paper, with one reviewer (R4) recommending against acceptance. R4's central concerns regard the novelty of the proposed approach and its positioning relative to the existing SMC literature. The authors argued vigorously in the comments that this paper should be judged as a contribution to the VI literature and not the SMC literature.  Unfortunately, I will recommend that this paper is rejected. It is my opinion that R4's concerns were not fully addressed.

On the one hand, I agree with the authors that there is significant value to be had in exploring variants of SMC for VI. Indeed, some prior art, like FIVO and IWAE, contributed little to the Monte Carlo literature. I believe that these were good contributions.

On the other hand, I am concerned that the current draft does not clearly circumscribe its contributions. I read the sections that disuss the works of Schmon et al. (2019) and Kudlicka et al. (2020), and the writing did not leave me with a clear enough sense of the differences. I also read the abstract and introduction of the paper. The introduction of the paper positions this work clearly within the VI literature, but does not clearly discuss prior SMC art, e.g., it does not cite Kudlicka et al. (2020). Despite citing rejection control for SMC, the writing of the abstract and introduction left me with the impression that this work was the first to introduce *unbiased, partial* rejection control for SMC. I believe that impressions matter and that the machine learning community should be generous to adjacent communities when assigning credit.

I realize that my decision is a matter of taste. I also want to say that I am confident that the authors have a clear sense of where their contribution sits, and I suspect that it is a valuable contribution. However, I cannot recommend the draft in its current form. If this is a contribution to the VI literature, as the authors argue, then the authors should not hesitate to give full credit to prior SMC art. My reading of the current draft still leaves me confused about which aspects of the SMC estimator are actual contributions.

","I've raised the confidence score for my review, as I understand the technical details better now, hence the weak accept. The paper proposes a new variational bound for sequential latent variable models. It is based on a partial rejection control step and uses a dice enterprise for sampling the ancestor variables. Empirical experiments suggest that the method outperforms previous work --- The problem is interesting. The notation is a bit cumbersome at times, but it is the case for most papers on SMC.",0.09671179883945842,0.7764878869056702,0.7082884907722473,0.740821897983551,CORRECT,0.9473956823348999
7,"This paper addresses a meta-learning method which involves bilevel optimization. It is claimed that two limitations (myopia of MG and restricted consideration of geometry of search space) that most of existing methods have can be resolved by the MBG with a properly chosen pseudo-metric. The algorithm first bootstraps a target from the meta- learner, then optimizes the meta-learner by minimizing the distance to that target under a chosen pseudo-metric. The authors also establish conditions that guarantee performance improvements and show that metric can be sued to control meta-optimization. All the reviewers agree that the idea is interesting and experiments well support it. Authors did a good job in the rebuttal phase, resolving most of concerns raised by reviewers, leading that two of reviewers raised their score. While the current theoretical results are limited to a simple case where L=1$, the method is attractive for meta-learning community. All reviewers agree to champion this paper. Congratulations on a nice work.

","A new meta-learning algorithm to address two shortcomings of standard meta-optimization algorithms: curvature mismatch and limited evaluation (the meta-objective is evaluated only with-in a K-step horizon, ignoring future learning dynamics). The proposed algorithm achieves a new state-of-the-art for model-free agents on the Atari ALE benchmark and yielded gains in multi-task meta learning.",0.15859030837004404,0.8044530749320984,0.7597038149833679,0.7814383506774902,INCORRECT,0.9999654293060303
8,"Dear Authors,
thank you very much for your submission. We are happy to inform you that
we have decided to accept it and we look forward to your talk in the workshop.
Please, go over the feedback in the reviews and correct or update your papers
in time for the camera ready date (May 24). In particular, please address the
comments raised by both reviewers regarding clarity, discussion of related work,
and additional experimental results, by making use of the additional space (9 pages) 
allowed by HSDIP.
Best regards
HSDIP organizers

","I think the paper in its current form takes us closer to understanding what made the Complementary planners work well in IPC 2018. Furthermore, the experiment section is missing many essential comparisons, making it impossible to judge how the algorithms compare to previous work. - ed. Franco et al. (2017). Automatic pattern generation for PDB heuristics: a review and meta-analysis of a new approach to the problem.",0.12658227848101264,0.7465406656265259,0.7360852956771851,0.7412761449813843,INCORRECT,0.9893787503242493
9,"This work presents a novel environment-free invariant learning method that uses an auxiliary network to learn environment-specific features, from which environment inferences can be derived. The method is composed of two jointly learned models, that take care of the environment identification, the learning of the invariant representations, and the label predictions, produced by a multi-headed neural network. The proposed model is compared to different alternative models from the literature of the field, in different challenging benchmarks, and the results show that it closely achieves the best possible invariant learning performance.

After some initial discussions, all reviewers agreed that this work is ready for publication, as the work addresses an important problem, presents good empirical results, and will be of significant interest to the community. 


","I like the idea of the paper, and was impressed by the experimental results showing that the proposed method EDNIL realizes good worst-group performance in a variety of settings, while addressing the sensitivity to initialization that we see in EIIL. A novel supervised ML model capable of identifying and adapting to different environments hidden in the training data. The method, eDNIL, is composed of two jointly learned models, that take care of the environment identification, the learning of the invariant representations and the label predictions, produced by a multi-headed neural network.",0.3272727272727272,0.8379738926887512,0.8336362838745117,0.8357994556427002,INCORRECT,0.9991289973258972
