,gold,prediction,rouge_score,bertscore_precision,bertscore_recall,bertscore_f1,factCC_label,factCC_score
0,"This paper proposes a class of neural processes that lifts the limitations of conditional neural processes (CNPs) and produces dependent/correlated outputs but that, as CNPs, is inherently scalable and it is easy to train via maximum likelihood. The proposed model is extended to multi-output regression and to capture non-Gaussian output distributions. Results are presented on synthetic data, an electroencephalogram dataset and on a climate modeling problem. The paper parameterizes the prediction map as a Gaussian, where the mean and covariance are determined using neural networks. Non-Gaussian prediction maps are obtained using copulas. 

Technically speaking, the reviewers found the approach to be incremental and only marginally significant and I agree with them. Issues such as estimates of computational cost, using fixed lengthscales for the covariances and relationships/using normalizing flows have been addressed by the authors satisfactorily. Empirically, the contribution of the paper is somewhat significant, as it provides similar flexibility to other more computationally expensive processes and more general assumptions than conditional neural processes.

",The following papers have been published in the journal Neural Computation.,0.055865921787709494,0.7483266592025757,0.6046258211135864,0.6688447594642639,CORRECT,0.7905465960502625
1,"Exploration can happen at various levels of granularity and at different times during an episode,  and this work performs a study of the problem of exploration (when to explore/when to switch between exploring and exploitation, at what time-scale to do so, and what signals would be good triggers to switch). The study is performed on atari games.

Strenghts:
------------
The study is well motivated and the manuscript is overall well written
Studies a new problem area, and proposes an initial novel method for this problem
extensive study on atari problems

Weaknesses
--------------
some clarity issues as pointed out by the reviewers
no illustrative task is given to give a more intuitive exposition of the ""when to explore"" problem
comparison to some extra baselines like GoExplore would have been insightful

Rebuttal:
----------
Most clarity issues have been addressed satisfactorily. It has been explained why some requests for extra baselines would be challenging/or not relevant enough. While the authors agree that GoExplore would be an interesting baseline, they seem to have not added it. An illustrative task was not provided.

Summary:
------------
All reviewers agree that this manuscript opens up and tackles a novel direction in exploration, and provides an extensive empirical study on atari games (a standard benchmark for such problem settings). While I agree with the reviewers that point out that this paper could have been made stronger by adding an illustrative task and additional baselines like GoExplore, there is a general consensus that the provided empirical study on this novel problem setting is a good contribution in itself. Because of this I recommend accept.

",Each week we feature a paper published in the refereed journal of the American Physical Society (APS).,0.028469750889679717,0.6922918558120728,0.5813907384872437,0.6320131421089172,INCORRECT,0.9971811771392822
2,"This paper proposes an unsupervised graph learning method [Iterative Graph Self-Distillation (IGSD)] by iteratively performing self-distillation to contrast graph pairs under different augmented views. This idea is then extended to semi-supervised setting where via a supervised contrastive loss and self-training. The method is empirically evaluated on some semi-supervised graph classification and molecular property prediction tasks, and has achieved promising results.

Reviewers agree that the method is interesting and the paper is well-written. The biggest concern from reviewers related to experimental evaluations of the method. The authors responded to this and included additional experiments. Although the reviewers appreciate the provided results and explanations, at the end they were not convinced about the empirical assessments. In particular, R1's post rebuttal comment indicates concerns about the reported performance of GCKN, which is different from the published one in Table 1 of GCKN paper. I encourage authors to improve on these experimental discrepancies and resubmit. 

",Each week we feature a paper that has been reviewed by a member of the research community.,0.05714285714285715,0.7259756326675415,0.6421236991882324,0.6814799904823303,INCORRECT,0.955950915813446
3,"This paper suggests that adversarial vulnerability scales with the dimension of the input of neural networks, and support this hypothesis theoretically and experimentally. 

The work is well-written, and all of the reviewers appreciated the easy-to-read and clear nature of the theoretical results, including the assumptions and limitations. (The AC did not consider the criticisms raised by Reviewer 3 justified. The norm-bound perturbations considered here are a sufficiently interesting unsolved problem in the community and a clear prerequisite to solving the broader network robustness problem.) 

However, many of the reviewers also agreed that the theoretical assumptions - and, in particular, the random initialization of the weights - greatly oversimplify the problem. Reviewers point out that the lack of data dependence and only considering the norm of the gradient considerably limit the significance of the corresponding theoretical results, and also does not properly address the issue of gradient masking. 

",Each week we feature a paper that has been reviewed by a member of the research community.,0.07228915662650602,0.7360210418701172,0.6511279940605164,0.6909767985343933,INCORRECT,0.9960122108459473
4,"The paper shows that a form of Fictitious Self-Play converges to the Nash equilibria in Markov games. Understanding the theoretical properties of Fictitious Self-Play is important, however the paper in its current form is not ready for publication. The paper needs a more thorough discussion on related works, the assumptions made, and as pointed out by Reviewer3, the convergence argument needs to be expanded and explained in more detail. Further, I encourage authors to add experiments and compare their algorithm with other methods. 

",NeurIPS is the world's largest conference on artificial intelligence and machine learning.,0.08163265306122448,0.7032620310783386,0.6660754680633545,0.6841637492179871,INCORRECT,0.9898884892463684
5,"This paper proposes a relatively complicated method for source-free unsupervised domain adaptation, which integrates several techniques into a divide and contrast framework. The idea of dividing the target data into source-like subset and target-specific subset and employing global alignment and feature consistency for each subset is novel when the source data is inaccessible. The contrastive learning and memory-based MMD are novel in the context of source-free domain adaptation and introduce theoretical benefits in terms of the expansion theory and domain alignment theory, respectively. Reviewers were on the positive side while holding some concerns on the marginal improvement over the SoTA methods, which were addressed in the author rebuttal. AC generally agreed that the paper has introduced a novel and solid contribution to the field, with a nice connection between algorithmic methods and theoretical insights, and  recommended the paper for acceptance. Authors are suggested to incorporate all rebuttal material in the revision and if possible, to work out a recipe for easing the adoption of their relatively complicated framework that comes with many modules and loss terms.

",NeurIPS is the world's largest annual conference on artificial intelligence and machine learning.,0.041025641025641026,0.697978675365448,0.6331678032875061,0.6639955043792725,INCORRECT,0.9566913843154907
6,"This paper explores the use of partial rejection control (PRC) for improved SMC-based variational bounds. While an unbiased SMC variant with PRC has been previously introduced by Kudlicka et al. (2020), this work introduces innovations that can help apply such ideas to variational inference. These bounds result in improvements in empirical performance. 

This paper was heavily discussed, with significant engagement by both the authors and the reviewers. Most reviewers recommended acceptance of this paper, with one reviewer (R4) recommending against acceptance. R4's central concerns regard the novelty of the proposed approach and its positioning relative to the existing SMC literature. The authors argued vigorously in the comments that this paper should be judged as a contribution to the VI literature and not the SMC literature.  Unfortunately, I will recommend that this paper is rejected. It is my opinion that R4's concerns were not fully addressed.

On the one hand, I agree with the authors that there is significant value to be had in exploring variants of SMC for VI. Indeed, some prior art, like FIVO and IWAE, contributed little to the Monte Carlo literature. I believe that these were good contributions.

On the other hand, I am concerned that the current draft does not clearly circumscribe its contributions. I read the sections that disuss the works of Schmon et al. (2019) and Kudlicka et al. (2020), and the writing did not leave me with a clear enough sense of the differences. I also read the abstract and introduction of the paper. The introduction of the paper positions this work clearly within the VI literature, but does not clearly discuss prior SMC art, e.g., it does not cite Kudlicka et al. (2020). Despite citing rejection control for SMC, the writing of the abstract and introduction left me with the impression that this work was the first to introduce *unbiased, partial* rejection control for SMC. I believe that impressions matter and that the machine learning community should be generous to adjacent communities when assigning credit.

I realize that my decision is a matter of taste. I also want to say that I am confident that the authors have a clear sense of where their contribution sits, and I suspect that it is a valuable contribution. However, I cannot recommend the draft in its current form. If this is a contribution to the VI literature, as the authors argue, then the authors should not hesitate to give full credit to prior SMC art. My reading of the current draft still leaves me confused about which aspects of the SMC estimator are actual contributions.

","The 2019 Neural Information Processing Society (NeurIPS) conference is taking place in Washington, DC, from 14 to 17 March.",0.02207505518763797,0.6640642881393433,0.5620143413543701,0.6087923645973206,INCORRECT,0.9953399896621704
7,"This paper addresses a meta-learning method which involves bilevel optimization. It is claimed that two limitations (myopia of MG and restricted consideration of geometry of search space) that most of existing methods have can be resolved by the MBG with a properly chosen pseudo-metric. The algorithm first bootstraps a target from the meta- learner, then optimizes the meta-learner by minimizing the distance to that target under a chosen pseudo-metric. The authors also establish conditions that guarantee performance improvements and show that metric can be sued to control meta-optimization. All the reviewers agree that the idea is interesting and experiments well support it. Authors did a good job in the rebuttal phase, resolving most of concerns raised by reviewers, leading that two of reviewers raised their score. While the current theoretical results are limited to a simple case where L=1$, the method is attractive for meta-learning community. All reviewers agree to champion this paper. Congratulations on a nice work.

","NeurIPS is the world's largest annual conference on artificial intelligence and machine learning, taking place this year in Amsterdam, The Netherlands. A new meta-learning algorithm for hyperparameter optimization is proposed and tested for reinforcement learning, including learning the exploration hyperparameter for a behaviour policy.",0.10426540284360189,0.745590090751648,0.7179262042045593,0.7314967513084412,INCORRECT,0.99078768491745
8,"Dear Authors,
thank you very much for your submission. We are happy to inform you that
we have decided to accept it and we look forward to your talk in the workshop.
Please, go over the feedback in the reviews and correct or update your papers
in time for the camera ready date (May 24). In particular, please address the
comments raised by both reviewers regarding clarity, discussion of related work,
and additional experimental results, by making use of the additional space (9 pages) 
allowed by HSDIP.
Best regards
HSDIP organizers

","NeurIPS is the world's largest annual conference on artificial intelligence and machine learning, taking place this year in Amsterdam, The Netherlands. A new meta-learning algorithm for hyperparameter optimization is proposed and tested for reinforcement learning, including learning the exploration hyperparameter for a behaviour policy.",0.0875912408759124,0.7067813277244568,0.6849424839019775,0.6956905126571655,INCORRECT,0.9752995371818542
9,"This work presents a novel environment-free invariant learning method that uses an auxiliary network to learn environment-specific features, from which environment inferences can be derived. The method is composed of two jointly learned models, that take care of the environment identification, the learning of the invariant representations, and the label predictions, produced by a multi-headed neural network. The proposed model is compared to different alternative models from the literature of the field, in different challenging benchmarks, and the results show that it closely achieves the best possible invariant learning performance.

After some initial discussions, all reviewers agreed that this work is ready for publication, as the work addresses an important problem, presents good empirical results, and will be of significant interest to the community. 


","NeurIPS is the world's largest annual conference on artificial intelligence and machine learning, taking place this year in Amsterdam, The Netherlands. A new meta-learning algorithm for hyperparameter optimization is proposed and tested for reinforcement learning, including learning the exploration hyperparameter for a behaviour policy.",0.10404624277456648,0.7451766729354858,0.7317410111427307,0.7383977174758911,INCORRECT,0.9520005583763123
